id,date,amount,info
1010,2020-09-27,191600,
1011,2021-03-12,52000,
1012,2021-02-16,121700,
1013,2020-12-18,14600,
1014,2021-04-19,113600,
1015,2020-08-04,175700,
1016,2020-10-13,159100,
1017,2020-09-19,40100,
1018,2020-08-21,38200,
1019,2020-11-04,16500,
1020,2020-11-30,145700,
1021,2021-02-04,176200,
1022,2021-03-10,86100,
1023,2021-04-19,165600,
1024,2021-03-30,14400,
1025,2020-12-16,178100,
1026,2021-01-28,103900,
1027,2020-08-06,54800,
1028,2020-07-02,160600,
1029,2021-03-17,138400,
1030,2021-01-31,32500,
1031,2020-09-29,19500,
1032,2021-01-03,113700,
1033,2020-10-25,173500,
1034,2020-08-05,133500,
1035,2021-02-28,110500,
1036,2020-11-20,102500,
1037,2021-02-14,123600,
1038,2020-09-05,68800,
1039,2020-09-14,12300,
1040,2020-08-25,89200,
1041,2020-11-19,66100,
1042,2020-07-27,198600,
1043,2021-01-21,128700,
1044,2021-01-06,153500,
1045,2021-04-19,56900,
1046,2021-03-15,179000,
1047,2020-08-16,35800,
1048,2020-07-21,47600,
1049,2021-04-07,42800,
1050,2021-02-20,68100,
1051,2020-07-14,161100,
1052,2020-10-12,89400,
1053,2020-11-01,48900,
1054,2021-01-08,63500,
1055,2021-02-05,176800,
1056,2020-09-28,38400,
1057,2021-01-26,132700,
1058,2021-02-16,97800,
1059,2020-07-12,121700,
1060,2020-11-30,29700,
1061,2020-10-26,185000,
1062,2020-09-07,64600,
1063,2020-12-08,26500,
1064,2021-03-15,77800,
1065,2021-03-31,61400,
1066,2021-04-09,64900,
1067,2020-12-02,118400,
1068,2021-04-10,167500,
1069,2020-07-04,135300,
1070,2020-07-29,51100,
1071,2020-09-15,143200,
1072,2020-09-24,96000,
1073,2021-03-22,163800,
1074,2020-07-24,136900,
1075,2020-09-03,174700,
1076,2021-03-15,133400,
1077,2021-02-28,119200,
1078,2020-06-27,102400,
1079,2020-09-19,198400,
1080,2021-03-19,121000,
1081,2020-07-29,195700,
1082,2020-08-30,100100,
1083,2020-07-16,19300,
1084,2021-04-16,42800,
1085,2021-03-12,10600,
1086,2020-10-29,113000,
1087,2020-11-17,139000,
1088,2021-01-28,198900,
1089,2020-12-11,143100,
1090,2021-03-15,82200,
1091,2020-08-21,112300,
1092,2020-07-27,28900,
1093,2020-10-27,47300,
1094,2020-07-26,108800,
1095,2021-01-24,148500,
1096,2020-09-01,128200,
1097,2021-01-27,73800,
1098,2020-08-24,135300,
1099,2021-01-31,191400,
1100,2021-01-30,195900,
1101,2020-12-06,183800,
1102,2020-12-06,111100,
1103,2021-01-06,163200,
1104,2020-10-03,64700,
1105,2021-01-24,55700,
1106,2020-08-16,84200,
1107,2020-08-19,164600,
1108,2021-02-12,73200,
1109,2020-10-20,168100,
1110,2021-02-21,122700,
1111,2020-10-11,195300,
1112,2020-07-04,80400,
1113,2020-12-22,127800,
1114,2020-09-24,52400,
1115,2020-08-03,41700,
1116,2020-08-12,105700,
1117,2021-01-05,19900,
1118,2020-07-13,166700,
1119,2020-08-21,133700,
1120,2020-10-28,15500,
1121,2021-01-29,135700,
1122,2021-01-04,74400,
1123,2021-03-10,69600,
1124,2020-09-09,101800,
1125,2021-04-05,20000,
1126,2020-12-10,66100,
1127,2020-11-19,188400,
1128,2021-01-13,125200,
1129,2020-09-15,129300,
1130,2020-10-03,136000,
1131,2020-10-06,87400,
1132,2020-10-04,63300,
1133,2021-03-04,174600,
1134,2020-09-24,102800,
1135,2020-12-07,64000,
1136,2021-01-07,127200,
1137,2021-03-15,143900,
1138,2021-04-01,155600,
1139,2020-10-09,109400,
1140,2021-01-20,46000,
1141,2020-10-27,91500,
1142,2020-07-01,156500,
1143,2020-12-21,189800,
1144,2021-03-11,32400,
1145,2020-07-12,54800,
1146,2021-03-04,138500,
1147,2020-07-26,58300,
1148,2020-06-30,130800,
1149,2020-07-08,165500,
1150,2021-01-02,14500,
1151,2020-12-04,99600,
1152,2020-12-08,163400,
1153,2021-04-08,189800,
1154,2020-10-10,190600,
1155,2020-12-13,140600,
1156,2020-12-08,96100,
1157,2020-11-29,28600,
