id,date,unit_measurement,quantity,price_per_unit,total_income,id_crop
110,2020-07-23,200,25,1200,30000,
111,2021-04-16,300,32,1400,44800,
112,2020-10-20,300,59,1400,82600,
113,2020-11-06,200,60,1200,72000,
114,2020-12-28,200,36,1200,43200,
115,2020-12-17,300,22,1400,30800,
116,2020-07-20,300,49,1400,68600,
117,2020-12-03,300,32,1400,44800,
118,2020-06-24,300,53,1400,74200,
119,2020-09-09,300,49,1400,68600,
120,2020-10-24,200,56,1200,67200,
121,2020-10-01,200,43,1200,51600,
122,2021-01-26,300,52,1400,72800,
123,2020-07-27,200,37,1200,44400,
124,2020-07-15,300,27,1400,37800,
125,2020-09-25,200,52,1200,62400,
126,2020-10-28,200,23,1200,27600,
127,2020-12-21,200,20,1200,24000,
128,2020-08-30,200,42,1200,50400,
129,2020-06-29,300,50,1400,70000,
130,2021-02-24,200,58,1200,69600,
131,2020-07-11,300,50,1400,70000,
132,2020-12-21,200,29,1200,34800,
133,2021-01-02,200,55,1200,66000,
134,2020-10-06,300,55,1400,77000,
135,2020-12-31,200,23,1200,27600,
136,2020-08-02,200,25,1200,30000,
137,2020-10-10,300,44,1400,61600,
138,2020-07-25,200,28,1200,33600,
139,2020-12-18,200,46,1200,55200,
140,2021-03-16,200,32,1200,38400,
141,2020-08-17,300,48,1400,67200,
142,2020-06-27,300,48,1400,67200,
143,2021-01-03,200,37,1200,44400,
144,2020-07-27,200,26,1200,31200,
145,2020-09-15,300,39,1400,54600,
146,2020-11-29,200,58,1200,69600,
147,2020-11-28,200,34,1200,40800,
148,2021-04-02,300,38,1400,53200,
149,2020-10-15,200,27,1200,32400,
150,2021-04-01,200,56,1200,67200,
151,2020-07-28,300,36,1400,50400,
152,2020-06-30,300,41,1400,57400,
153,2020-12-08,300,53,1400,74200,
154,2021-02-03,300,28,1400,39200,
155,2020-10-02,300,46,1400,64400,
156,2020-07-12,200,38,1200,45600,
157,2021-02-28,300,23,1400,32200,
158,2020-12-05,300,45,1400,63000,
159,2020-09-07,200,43,1200,51600,
160,2020-06-24,200,59,1200,70800,
161,2020-11-14,200,46,1200,55200,
162,2020-09-10,300,45,1400,63000,
163,2020-07-29,300,47,1400,65800,
164,2020-10-22,200,23,1200,27600,
165,2021-01-14,300,59,1400,82600,
166,2020-08-20,200,20,1200,24000,
167,2021-02-17,300,32,1400,44800,
168,2021-04-02,200,44,1200,52800,
169,2020-07-30,300,51,1400,71400,
170,2020-10-05,200,60,1200,72000,
171,2021-01-01,200,55,1200,66000,
172,2020-07-25,300,52,1400,72800,
173,2021-04-14,200,57,1200,68400,
174,2020-08-23,200,58,1200,69600,
175,2020-08-22,300,20,1400,28000,
176,2020-07-24,300,32,1400,44800,
177,2021-03-08,200,29,1200,34800,
178,2020-08-11,300,22,1400,30800,
179,2021-01-03,300,39,1400,54600,
180,2020-12-17,200,55,1200,66000,
181,2020-08-05,200,25,1200,30000,
182,2021-04-19,200,43,1200,51600,
183,2021-03-30,200,42,1200,50400,
184,2021-04-10,200,42,1200,50400,
185,2020-08-16,200,60,1200,72000,
186,2020-08-03,300,30,1400,42000,
187,2021-02-16,300,56,1400,78400,
188,2021-02-12,300,23,1400,32200,
189,2021-01-09,300,27,1400,37800,
